Displacements
Node, u, v
60 ,2, 61, 83.086551, -352.585901, -158.609588
60 ,3, 93, 133.476275, -299.408348, -220.400645
60 ,4, 92, 93.313639, -397.946389, -173.943272
61 ,1, 61, 167.242908, -192.810197, -3.564319
61 ,2, 62, 167.053060, -294.344615, 44.845281
61 ,3, 94, 147.708667, -268.639283, -36.593924
61 ,4, 93, 147.505470, -377.312735, 15.219425
62 ,1, 62, 91.979341, -21.517092, 106.609324
62 ,2, 63, 120.577996, -126.394272, 185.105867
62 ,3, 95, 56.611347, -149.252351, 62.589543
62 ,4, 94, 87.220815, -261.503600, 146.605293
63 ,1, 63, -20.008274, 151.773349, 97.070056
63 ,2, 64, 13.437724, 71.796986, 212.896326
63 ,3, 96, -56.484032, -23.932272, 57.936870
63 ,4, 95, -20.686397, -109.531891, 181.907055
64 ,1, 64, -89.391849, 245.249265, -6.068752
64 ,2, 33, -75.047676, 215.243141, 135.082131
64 ,3, 65, -122.045686, 39.623810, -24.740621
64 ,4, 96, -106.692953, 7.507912, 126.334787
65 ,1, 65, -138.795003, -159.745027, -124.136223
65 ,2, 66, -149.930375, -127.728599, 23.888737
65 ,3, 98, -176.427801, -407.516673, -114.872909
65 ,4, 97, -188.454689, -372.936958, 45.003168
66 ,1, 66, -43.775706, -268.829812, -179.485858
66 ,2, 67, -67.355622, -182.864770, -56.014476
66 ,3, 99, -82.673304, -485.953867, -145.870115
66 ,4, 98, -108.141066, -393.106325, -12.513416
67 ,1, 67, 87.834925, -406.883967, -143.811122
67 ,2, 68, 76.106651, -292.244488, -55.851824
67 ,3, 100, 53.645629, -569.973983, -102.852397
67 ,4, 99, 40.978370, -446.156282, -7.850937
68 ,1, 68, 187.405019, -504.902054, -7.898578
68 ,2, 69, 212.747407, -388.079882, 54.768030
68 ,3, 101, 176.134848, -608.065561, 21.792522
68 ,4, 100, 203.506189, -481.890417, 89.476320
69 ,1, 69, 187.712357, -509.877982, 196.337955
69 ,2, 70, 261.234305, -415.382433, 257.561905
69 ,3, 102, 229.449279, -555.180789, 201.269546
69 ,4, 101, 308.857512, -453.119774, 267.395184
70 ,1, 70, 71.888092, -426.316886, 389.358643
70 ,2, 71, 171.342778, -408.543644, 468.752108
70 ,3, 103, 198.151042, -408.566033, 357.429652
70 ,4, 102, 305.568230, -389.369836, 443.179486
71 ,1, 71, -81.455925, -325.210149, 424.809507
71 ,2, 72, -11.239925, -435.399852, 533.217114
71 ,3, 104, 125.630046, -263.534665, 356.969401
71 ,4, 103, 201.467651, -382.546334, 474.056296
72 ,1, 72, -189.413720, -312.862070, 149.143915
72 ,2, 73, -168.609474, -404.981359, 297.902251
72 ,3, 105, 63.926995, -264.444935, 103.441383
72 ,4, 104, 86.396863, -363.939442, 264.109550
73 ,1, 73, -168.609474, -404.981359, -297.902251
73 ,2, 74, -189.413720, -312.862070, -149.143915
73 ,3, 106, 86.396863, -363.939442, -264.109550
73 ,4, 105, 63.926995, -264.444935, -103.441383
74 ,1, 74, -11.239925, -435.399852, -533.217114
74 ,2, 75, -81.455925, -325.210149, -424.809507
74 ,3, 107, 201.467651, -382.546334, -474.056296
74 ,4, 106, 125.630046, -263.534665, -356.969401
75 ,1, 75, 171.342778, -408.543644, -468.752108
75 ,2, 76, 71.888092, -426.316886, -389.358643
75 ,3, 108, 305.568230, -389.369836, -443.179486
75 ,4, 107, 198.151042, -408.566033, -357.429652
76 ,1, 76, 261.234305, -415.382433, -257.561905
76 ,2, 77, 187.712357, -509.877982, -196.337955
76 ,3, 109, 308.857512, -453.119774, -267.395184
76 ,4, 108, 229.449279, -555.180789, -201.269546
77 ,1, 77, 212.747407, -388.079882, -54.768030
77 ,2, 78, 187.405019, -504.902054, 7.898578
77 ,3, 110, 203.506189, -481.890417, -89.476320
77 ,4, 109, 176.134848, -608.065561, -21.792522
78 ,1, 78, 76.106651, -292.244488, 55.851824
78 ,2, 79, 87.834925, -406.883967, 143.811122
78 ,3, 111, 40.978370, -446.156282, 7.850937
78 ,4, 110, 53.645629, -569.973983, 102.852397
79 ,1, 79, -67.355622, -182.864770, 56.014476
79 ,2, 80, -43.775706, -268.829812, 179.485858
79 ,3, 112, -108.141066, -393.106325, 12.513416
79 ,4, 111, -82.673304, -485.953867, 145.870115
80 ,1, 80, -149.930375, -127.728599, -23.888737
80 ,2, 81, -138.795003, -159.745027, 124.136223
80 ,3, 113, -188.454689, -372.936958, -45.003168
80 ,4, 112, -176.427801, -407.516673, 114.872909
81 ,1, 81, -138.795003, -159.745027, -124.136223
81 ,2, 82, -149.930375, -127.728599, 23.888737
81 ,3, 114, -176.427801, -407.516673, -114.872909
81 ,4, 113, -188.454689, -372.936958, 45.003168
82 ,1, 82, -43.775706, -268.829812, -179.485858
82 ,2, 83, -67.355622, -182.864770, -56.014476
82 ,3, 115, -82.673304, -485.953867, -145.870115
82 ,4, 114, -108.141066, -393.106325, -12.513416
83 ,1, 83, 87.834925, -406.883967, -143.811122
83 ,2, 84, 76.106651, -292.244488, -55.851824
83 ,3, 116, 53.645629, -569.973983, -102.852397
83 ,4, 115, 40.978370, -446.156282, -7.850937
84 ,1, 84, 187.405019, -504.902054, -7.898578
84 ,2, 85, 212.747407, -388.079882, 54.768030
84 ,3, 117, 176.134848, -608.065561, 21.792522
84 ,4, 116, 203.506189, -481.890417, 89.476320
